tweet;label
Alhmdllh terbantu dgn adanya aplikasi ini. Mksh yaaaa.....;1
Bermanfaat mengetahui perkembangan BPJS dan memudahkan urusan BPJS.;1
Aplikasi bisa terinstall dengan baik, terimakasih tim developer...;1
baik hanya kurang fitur utk info data catatan pembayaran secara detail dan bank utk pembayaran hanya bank mandiri sja tdk ad bank bank lainx;1
Sangat membantu masyarakat luas yang paham dan peduli dengan kesehatan;1
Bintang 5 nya saya kembaliin lagi, respon perbaikannya cepet . Makasih;1
Bagus ,semakin perbaikan terus untuk bisa memberikan yang terbaik buat rakyat;1
Sangat membantu sekali untuk bisa mengetahui info tentang BPJS dengan cepat .;1
Sangat membantu untuk cek status kartu dan berobat menggunakan KIS Digital;1
Lebih mudah dan cepat utk mengetahui info pembayaran dan yg lainny;1
Sangat membantu, apalagi dalam kondisi sekarang ini...;1
Semua urusan lbh gampang bisa dirumah atau dimana saja, tks.;1
Selama ini pelayanan yg saya dapat sangat memuaskan. Thank you mobile JKN;1
Semakin cepat pelayanannya melalui kontak keluhan..... Mantap dan grecep;1
Aplikasi ini memudahkan untuk kita ke rumah sakit tanpa kartu;1
Aplikasi nya memudah kan utk mengetahui informasi terkait dgn kesehatan;1
Memudahkan saya dalam memperoleh informasi kesehatan yang diperlukan.;1
Aplikasi yg sangat bagus dan sangat membantu saya, mantab dah pokoknya;1
Fiturnya makin lama makin lengkap ya. Sukses terus buat BPJS Kesehatan??;1
Aplikasi yg membantu mempermudah proses kesehatan masyarakat;1
cukup membantu dan ngk melulu ke kantor bpjs. cuma riwayat pembayaran kurang transparan;1
Aplikasi yang sangat membantu untuk info bpjs dan kesehatan;1
Bermanfaat untuk informasi kekinian dan mempermudah akses;1
Semoga aplikasi ini menjadi lebih baik dan terbaik lagi.;1
Sangat membantu dalam pengetahuan tentang kesehatan.;1
enak pakai BPJS via aplikasi jkn mobile. gak usah ribet bawa kartu.;1
Sangat membantu sekali untuk pelayanan masarakat, disaat sedang ada babah kovit19;1
Sangat membantu. Mhn min jgn sering2 update donk..;1
Semakin bagus, dan semoga semakin bagus lagi.....;1
Terimakasih pada pemerintah dan BPJS sangat membantu keluargaku makasih;1
Bagus cuma kenapa setiap update musti masukin dari awal lagi;1
Semoga lancar dan maju terus berkembang kedepannya.;1
Bagus berguna banget gak harus kekantornya;1
Pelayanannya lumayan bagus Tidak ribet;1
Sangat membantu peserta untuk memperoleh info tentang program Jaminan kesehatan;1
aplikasinya bagus tapi kenapa kadang harus login lagi.kadang tiap mau buka kenapa harus login lagi.tolong diperbaiki.mksih;1
Aplikasi mobile jkn bagus, mempermudah dalam fasilitas;1
Jkn memang sangat membantu. Mudah. Berkualitas.;1
Lancar lancar aja sih pakai aplikasi ini udah rubah kelas jg lancar..;1
Bpjs online yg sangat membantu..salah satunya tidak perlu membawa kartu fiisk;1
1. Pelayanan dokter sudah bagus. 2. Ttg obat yg dicover BPJS pd waktu mengambil obat di apotek. Pd daftar obat yg disediakan (pd aplikasi JKN) tercantum utk hypertensi dicover obat Allopurinol 300 mg tp menurut apotek tidak dicover. 3. Sy mau tanya sehub.dg dibatalkannya kenaikkan premi BPJS resmi p...Ulasan Lengkap1. Pelayanan dokter sudah bagus. 2. Ttg obat yg dicover BPJS pd waktu mengambil obat di apotek. Pd daftar obat yg disediakan (pd aplikasi JKN) tercantum utk hypertensi dicover obat Allopurinol 300 mg tp menurut apotek tidak dicover. 3. Sy mau tanya sehub.dg dibatalkannya kenaikkan premi BPJS resmi per bln Mei 2020. Pd Feb.2020 diumumkan kenaikan premi shg sy mengajukan turun grade dari Kelas 2 ke Kls 3 baru dg pembayaran yg sama dg premi Kls 2 lama. Dg keputusan tsb apa bs naik lg gradenya?;1
Sangat membantu semua org yg memerlukan JKN ini.dan berguna.trimakasih JKN.;1
membantu banget aplikasi ini hehehe ??????;1
Sangat memberikan kemudahan dan informasi yang lengkap;1
Sangat membatu kesehatan keluarga ku;1
Lebih cepat mendapatkan info dan mempermudah kegunaan BPJS;1
aplikasinya bagus....ga sia2 download aplikasi ini;1
baru pertama kali menggunakan jadi..lumayanlah pelayanannya;1
Yg ga kasih bintang 5, ga bisa make n ga tertib administrasi. Dah gitu aja wkwkwkwkwk;1
Memudahkan peserta dalam mengakses kepesertaan bpjs kesehatan, keren;1
Baik sekali untuk cari informasi dan telekomunikasi dan transaksi;1
Good Fitur..tapi sebaiknya jangan berulang-ulang;1
Sangat membantu utk melihatnya jdi gampang kg usah antri panjang;1
Alhamdulillah dng aplikasi Jln ini sy terbantu untuk mengetahui jumlah pembayaran;1
Mudah dan cepat untuk dapatkan informasi dan layanan;1
Semoga Dengan Aplikasi Ini Orang Tak Perlu Mengantri Ditengah Pandemi Covid-19;1
Mudah dan gampang kalau kedokter;1
Samgat membantu sekali memberikan informasi masalah kesehatan;1
dengan JKN sebagai peserta BPJS dapat memindahkan alamat Paskes pertiga bulan Thanks;1
aplikasinya sangat membantu sekali. Terimakasih;1
Sangat baik aplikasi ini dapat cetak kartu JKN dengan cepat;1
Mempermudah Masyarakat hanya sekali klik tanpa harus antri;1
Makasih...sangat membantu banget aplikasi nya,;1
Cukup membantu pelayanan di klinik atau rumah sakit;1
Mobile JKN sangat membangun sekali untuk mempermudah sistem;1
aplikasinya sangsat membantu untuk mengecek aktip atau tidak nya pbjs kesehatan;1
Bagus aplikasinya buat mengetahui tentang bpjs baik pembayaran bulanan dll;1
Dengan apkikasi baru yg ada fitur2 tambahan komsultasi dokter dan jadwal operasi sangat bagus;1
mempermudah untuk cek pelayanan FKTP , terima kasih BPJS;1
Sengat membantu sekali dengan ada nya aplikasi inih jd saya bisa tau info tntng bpjs;1
Sangat memudahkan mencari informasi tentang Jkn;1
Terima Kasih Mobile JKN atas layanan nya...??????;1
Oke si membantu,tp masa harus di updat trus kan udah;1
Sangat membantu untuk fasilitas kesehatan saya.;1
Aplikasi sangat membantu, tingkatkan lagi;1
Sangat membantu dalam proses, terimakasih;1
Lumayan membantu tapi untuk b8aya pembayarannya belum update;1
Sangat membantu saya, terima kasih apk jkn;1
Info jelas dan lengkap...membantu sekali;1
Dengan ada y mobile jkn alhamdulillah mudah cek status mobile jkn;1
Jkn sangat membantu masyarakat ekonomi lemah;1
Ok sangat mudahkan nasabah dalam pengecekan status BPJS;1
Terimakasih Puji Tuhan ayah saya bisa operasi mata katarak dengan lancar dgn biaya ditanggung oleh bpjs, mudah2an operasi berikutnya (mata kiri) juga berjalan lancar. Bersyukur walaupun jarak saya jauh dari orangtua tapi dengan aplikasi ini saya bisa memantau hasil pemeriksaan kesehatan ayah saya sa...Ulasan LengkapTerimakasih Puji Tuhan ayah saya bisa operasi mata katarak dengan lancar dgn biaya ditanggung oleh bpjs, mudah2an operasi berikutnya (mata kiri) juga berjalan lancar. Bersyukur walaupun jarak saya jauh dari orangtua tapi dengan aplikasi ini saya bisa memantau hasil pemeriksaan kesehatan ayah saya saat periksa di rs/puskes. Aplikasi bagus tolong lebih dikembangkan lagi, pelayanan bagus , saran buat pemerintah kedepan kalau bisa biaya iuran jangan terlalu mahal untuk masyarakat menengah kebawah??;1
Sangat membantu untel mengetahui pembayaran dan mengegecek tpt rawat inap;1
Sangat bagus apelikasi ini karena dapat mempermudah;1
Sangat membantu....kapan pun bisa d gunakan utk akses kartu kepesertaan KIS, jika kita lupa bawa kartu bisa deh tunjukkan kartu yg ada pada aplikasi ini...mudah kan ????;1
Yang kalian komen buruk aplikasi bagian mananya ya? Daftar dengan mudah bisa, Pindah alamat berobat faskes dengan mudah juga bisa. Konfirmasi email? Konfirmasi nomer hp . semua bisa dengan mudah kok. Terus salahnya aplikasi ini buat kalian itu dimana ?? yang masalah itu harga bpjs nya naik wkwkwk;1
Terima kasih bpjs telah menjaga kluarga saya dgn baik;1
Aplikasi ini Bagus banget ini sngt membantu bisa tau rawat inapnya ada brapa kamar. Tapi keseringan di update. Coba langsung sekalian di update nya. Tiap bulan diupdate muluk,;1
Terimkasih bpjs ..berkat anda kami tertolong sukses selalu??;1
Mempermudah dan dpt melihat kamar RS yg tersedia;1
Membantu biar lebih gampang dalam pendaftaran;1
Aplikasi nya ok, bermuat informasi faskes , iuran dll;1
Setelah sy baca ulasan bbrpa org kok sprtinya negatif semua ya.kalau saya pribadi cukup terbantu dngn aplikasi ini.kebetulan kartu bpjs fisik sy hilang,dan sy bisa menggunakan kartu digital di aplikasi ini buat berobat.menurut sya pelayanan di puskes/rs di DKI cukup baik,beda dgn di daerah,;1
membantu ketika lupa bawa kartu bpjs tinggal buka apliksi dan tunjukin, walaupun akhirnya ditolak karena sakit saat tanggal merah, mungkin untuk direvisi biar tetep bisa berobat pake bpjs walaupun ditanggal merah;1
Very useful. BPJS Kesehatan cepat beradaptasi di era digital dengan menyediakan Mobile JKN ini yg memberikan banyak manfaat bagi penggunanya. Keep going!;1
Alhamdulillah cepat dan mudah. Meskipun saat install perlu usaha ekstra. Akhirnya bisa lewat wifi kantor BPJS. Terima kasih, BPJS dan para petugas.;1
Untuk saat ini cukup bangga dgn apl ini karena memudahkan saya untuk mengakses data dari hp saya..karena klo untuk mengecek data kekantor.nya langsung jarak dari rumah terlalu jauh;1
Sangat membantu.. bisa rubah data kepesertaan juga.. bisa cek tagihan.. bisa periksa tanpa kartu, hanya menunjukkan kartu elektroniknya.. terima kasih BPJS.. ????????;1
good luck ..pertolongan yg dibrikan hrs dgn keiklasan dlm bertugas dalam pelayanan Yg baik dpt menolong jiwa sesama. Good luck;1
Sangat membantu sekali,apabila lupa bawa kartu JKN nya dengan menunjukkan Apk ini sudah bisa di gunakan...;1
Membantu bangat Cuman ada kurang nya kl bisa di buatkan Notifikasi jatuh tempo pembayaran. Supaya tidak lupa. Karena saya adalah nasabah Mandiri. Terimakasih;1
Aplikasi ini bagus dan sangat membantu, tapi yang disayangkan terlalu sering minta diupdate. Terimakasih;1
Sangat membantu sekali, semuanya lengkap, mau ganti kelas, ganti faskes, daftar online, cek tempat tidur, bisa menyampaikan pengaduan sama informasi juga;1
Sangat membantu kalau saya kontrol kerumah sakit, ke dokter internis, spesialis syaraf dan spesialis jantung;1
Aplikasi bagus dan sangat Berfaedah misalnya mesti panik atau buru buru ke rumah sakit lupa bawa kartu BPJS atau kartu Indonesia sehat , tinggal nunjukin data BPJS kartu nya via handphone udah data tercover semua ... Saran nya tinggal di up date terus yang lebih bagus ??????????;1
Aplikasi Sudah baik.. tp klo bisa untuk riwayat penyakit dari pemeriksaan untuk semua anggota tertanggung bisa di lihat juga.. bukan hanya peserta penanggung saja..;1
Mantul sangat membantu.. Tapi kalaw ganti paskes kan nama di paskes tingkat pertama nya berubah nanti bagaimana pas berobat? Apa akan di kirim lagi kartu bpjs yg baru apa bisa menggunakan paskes yg lama?;1
Alhamdulillah selama saya pakai bpjs tidak ada kendala... Untuk iuran naik buat saya tidak masalah (berpartisipasi ke masyarakat yg tidak mampu/pemakai bpjs gratis) walaupun saya harus turun kelas karna tarifnya sedikit lebih malah... Semoga lebih baik kedepanya;1
Trimakasih BPJS,,tuk semua bntuaan biaya berobat saya n ank saya ,Sukses selalu,,,;1
Alhamdulillah lancar, Dulu pernah download dan sering gangguan dan eror. Akhirnya aku uninstall.. Sekarang aku download lagi. Udah lancar jaya. Terimakasih..;1
Aplikasi Mobile JKN sangat bagus karna mempermudah untuk mengetahui identitas peserta BPJS dan iuran setiao bulannya. Peserta BPJS tidak perlu repot2 ke kantor cukup dengan menggunakan aplikasi ini sja;1
Aplikasi ini memudahkan informasi tentang jumlah ketersediaan kamar RS, RS terdekat, dll;1
Update review: Skrg saya kasih bintang 5. Stelah pembaruan jd lbih baik. Error login atau koneksi putus ga terjadi lg, selain dr hal tsb sya belum mengalami kendala apa pun setelah pembaruan aplikasi yg skrg. Trimakasih, semoga kedepan nya makin makin baik lg. ^_^;1
Terimakasih telah mempermudah akses BPJS sehingga lebih cepat dalam proses.... Tolong tambahkan menu untuk pelayanan dalam bidang komunikasi,.. Misalnya komunikasi dengan operator sehingga kami sebagai masyarakat awam dapat bijak dalam menggunakan aplikasi... Terimakasih;1
Sangat membantu. Terutama kemudahan pemindahan faskes pertama. No ribet2, proses nya cepat. Mantap pokok nya;1
Sangat membantu sekali...sangat mudah dan praktis cara menurun kan kelas BPJS tanpa hrs ke kantor BPJS untuk mengantri...mudah dan cpt sekali selesainya...terima kasih banyak;1
Aplikasinya sangat membantu.. Utk perubahan data pun qta bisa langsung update di aplikasi ini.. Moga ke depannya aplikasinya menambah fitu2 yg lbh inovatif agar memudahkan masyarakat untuk berobat;1
"Alhamdulillah Sangat membantu,,,,, dari pada antri lama"" d kantor BPJS, proses perubahan data via Mobile JKN lebih cepat & mudah,,,,, terima kasih Mobile JKN";1
Sangat terbantu sekali dengan aplikasi mobile JKN, saya bisa daftar ke anggotaan JKN hanya melalui HP saja....semoga sosialisasi tentang aplikasi JKN semakin gencar di lakukan, dan terus di lakukan perbaikan...Terimakasih....;1
Aplikasi yang Bagus... Kami Sekeluarga bisa Melihat Layanan dan daftar riwayat Pelayanan. Semangat;1
Sangat bagus sekali, membantu untuk memlih faskes kesehatan, dan info kesehatan lainnya.;1
Sangat bagus, sangat membantu saya, juga keluarga saya, terpujilah bapak dan ibu yang mensukseskan program ini, semoga ke depan penghargaan yang diberikan untuk tenaga kesehatan ditingkatkan atas perjuangan dan pengorbanan mereka;1
Good job,,kalo saya pribadi sih dr awal instal app ini tidak ada kendala apapun. app ini udah sangat membantu tanpa harus repot� ke kantor cabang BPJS terdekat, untuk perubahan kelas pun lebih praktis lewat app ini,;1
